票型,出发地,目的地,仅看直飞,舱型,乘客类型,覆盖对数
往返,国际·中国港澳台热门,大洋洲,否,公务/头等舱,仅成人,15
单程,亚洲,美洲,是,经济/超经舱,成人与儿童,15
多程,欧洲,国内,否,头等舱,成人与儿童,15
往返,大洋洲,国际·中国港澳台热门,是,头等舱,成人与婴儿,15
多程,美洲,欧洲,是,公务舱,成人与儿童与婴儿,15
多程,国内,亚洲,否,经济/超经舱,成人与婴儿,14
单程,非洲,国内,是,公务舱,仅成人,13
单程,非洲,非洲,否,公务/头等舱,成人与儿童与婴儿,13
往返,亚洲,美洲,否,公务舱,成人与婴儿,11
单程,欧洲,大洋洲,是,公务舱,成人与婴儿,10
单程,美洲,国际·中国港澳台热门,否,头等舱,仅成人,10
单程,大洋洲,欧洲,否,经济/超经舱,仅成人,10
往返,国内,非洲,是,公务/头等舱,成人与儿童,11
多程,国际·中国港澳台热门,亚洲,是,公务舱,成人与儿童,9
往返,欧洲,国际·中国港澳台热门,否,经济/超经舱,成人与儿童与婴儿,9
多程,亚洲,国际·中国港澳台热门,否,公务/头等舱,仅成人,8
多程,国际·中国港澳台热门,美洲,是,头等舱,成人与儿童与婴儿,7
往返,非洲,亚洲,否,头等舱,成人与婴儿,6
多程,大洋洲,非洲,否,公务舱,成人与儿童,6
多程,非洲,大洋洲,是,经济/超经舱,成人与儿童,7
往返,美洲,国内,是,经济/超经舱,成人与婴儿,7
往返,国际·中国港澳台热门,欧洲,是,公务/头等舱,成人与婴儿,6
单程,国内,大洋洲,是,头等舱,成人与儿童与婴儿,6
单程,大洋洲,亚洲,否,公务/头等舱,成人与儿童与婴儿,6
单程,国际·中国港澳台热门,非洲,否,经济/超经舱,仅成人,5
往返,欧洲,美洲,是,公务/头等舱,仅成人,5
单程,亚洲,欧洲,否,头等舱,成人与儿童与婴儿,4
单程,国内,国际·中国港澳台热门,否,公务舱,成人与儿童与婴儿,3
多程,美洲,国内,否,公务/头等舱,成人与儿童与婴儿,3
往返,美洲,非洲,是,头等舱,成人与婴儿,3
单程,非洲,欧洲,否,公务/头等舱,成人与儿童,2
往返,亚洲,亚洲,是,公务/头等舱,仅成人,2
往返,美洲,美洲,是,公务/头等舱,成人与儿童,2
多程,国内,国内,否,公务舱,仅成人,2
单程,亚洲,大洋洲,否,公务/头等舱,成人与儿童,1
往返,国际·中国港澳台热门,国际·中国港澳台热门,是,头等舱,成人与儿童,2
多程,亚洲,国内,是,经济/超经舱,成人与婴儿,1
单程,大洋洲,美洲,是,公务/头等舱,成人与婴儿,1
单程,欧洲,欧洲,是,头等舱,成人与儿童,1
往返,国际·中国港澳台热门,国内,是,公务/头等舱,仅成人,1
单程,大洋洲,大洋洲,否,公务/头等舱,成人与婴儿,1
往返,美洲,亚洲,否,公务舱,仅成人,1
往返,欧洲,非洲,否,公务舱,仅成人,1
单程,国内,美洲,是,经济/超经舱,成人与儿童,1
往返,非洲,国际·中国港澳台热门,否,经济/超经舱,成人与儿童,1
单程,非洲,美洲,否,公务舱,成人与婴儿,1
单程,美洲,大洋洲,否,公务舱,成人与婴儿,1
多程,欧洲,亚洲,否,经济/超经舱,成人与儿童与婴儿,1
单程,大洋洲,国内,是,公务/头等舱,成人与儿童与婴儿,1
多程,亚洲,非洲,否,公务舱,仅成人,1
往返,国内,欧洲,否,经济/超经舱,成人与儿童与婴儿,1
